California Department of Finance,,,,,,,,,,,,,,,,Census 2010,
Demographic Research Unit,,,,,,,,,,,,,,,,Demographic Profile Summary File,
State Census Data Center,,,,,,,,,,,,,,,,Generated on 8/25/2011,
Phone:  916-323-4086,,,,,,,,,,,,,,,,,
"Table 1:  Population, Age and Sex Characteristics,  April 1, 2010",,,,,,,,,,,,,,,,,
Zip Code Tabulation Areas in California,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Geography,Total population,Male,Female,Median age (years),Male Median age (years),Female Median age (years),Average Household size,Average Family size,Persons Under 5 years,Persons Under 18 years,Persons Age 21+,Persons Age 55+,Persons Age 60+,Persons Age 65+,Percent Population Female,Percent Population Less than 18,
ZCTA5 95336,"42,675","21,023","21,652",35.2,33.7,36.6,2.99,3.4,"3,107","11,788","28,961","9,804","7,341","5,184",50.7%,27.6%,
ZCTA5 95337,"31,557","15,564","15,993",32.6,32.1,33,3.18,3.57,"2,537","9,462","20,617","5,314","3,733","2,495",50.7%,30.0%,
ZCTA5 95338,"11,062","5,477","5,585",50.3,49.6,50.9,2.28,2.77,515,"2,044","8,689","4,562","3,586","2,628",50.5%,18.5%,
ZCTA5 95340,"33,931","16,730","17,201",32.8,30.9,34.9,2.79,3.29,"2,513","9,027","22,280","7,870","5,921","4,044",50.7%,26.6%,
ZCTA5 95341,"32,967","16,878","16,089",25.3,25,25.6,3.81,4.12,"3,543","12,001","19,036","4,338","3,027","2,128",48.8%,36.4%,
ZCTA5 95345,708,374,334,43.4,41.8,45.2,2.44,3.03,41,151,541,224,179,108,47.2%,21.3%,
ZCTA5 95346,"1,272",666,606,50,49,51.5,2.22,2.69,50,218,"1,010",516,374,254,47.6%,17.1%,
ZCTA5 95348,"30,805","14,928","15,877",28,26.8,29.3,2.99,3.58,"2,669","9,229","19,349","5,386","3,989","2,799",51.5%,30.0%,
ZCTA5 95350,"51,046","24,435","26,611",36.8,34.1,39.3,2.60,3.16,"3,544","12,111","36,765","13,849","10,695","8,054",52.1%,23.7%,
ZCTA5 95351,"46,458","23,441","23,017",28.1,27.6,28.6,3.73,4.05,"4,389","15,457","28,501","7,416","5,186","3,437",49.5%,33.3%,
ZCTA5 95354,"25,394","12,779","12,615",33,32,33.9,2.79,3.36,"2,069","6,713","17,444","5,186","3,703","2,523",49.7%,26.4%,
ZCTA5 95355,"58,311","27,916","30,395",36.4,34.8,37.7,2.75,3.26,"3,944","15,176","40,550","14,241","10,597","7,337",52.1%,26.0%,
ZCTA5 95356,"30,918","15,060","15,858",37.3,35.8,38.5,2.79,3.26,"1,996","7,804","21,793","7,655","5,537","3,722",51.3%,25.2%,
ZCTA5 95357,"11,559","5,778","5,781",35.9,34,37.6,3.20,3.52,709,"3,171","7,823","2,526","1,840","1,191",50.0%,27.4%,
ZCTA5 95358,"31,668","16,380","15,288",29.9,29.4,30.5,3.60,3.87,"2,683","9,742","20,242","5,329","3,769","2,558",48.3%,30.8%,
ZCTA5 95360,"11,712","5,834","5,878",31,30.5,31.4,3.34,3.74,983,"3,767","7,429","2,107","1,472","1,027",50.2%,32.2%,
ZCTA5 95361,"31,610","15,547","16,063",38.3,36.9,39.6,2.80,3.22,"2,129","8,287","22,106","8,257","6,240","4,378",50.8%,26.2%,
ZCTA5 95363,"25,237","12,824","12,413",29.9,29.2,30.8,3.54,3.87,"2,134","8,292","15,691","3,922","2,738","1,744",49.2%,32.9%,
ZCTA5 95364,53,27,26,45.3,46.3,39.5,2.52,3,3,16,37,18,15,7,49.1%,30.2%,
ZCTA5 95365,"4,985","2,565","2,420",26.9,26.6,27.1,4.09,4.27,479,"1,708","2,981",738,558,404,48.5%,34.3%,
ZCTA5 95366,"16,575","8,145","8,430",37.8,36.2,39,2.91,3.33,"1,033","4,678","11,197","3,926","2,875","2,040",50.9%,28.2%,
ZCTA5 95367,"23,173","11,560","11,613",31.2,30.4,32.1,3.40,3.74,"1,972","7,149","14,992","4,061","2,926","2,006",50.1%,30.9%,
ZCTA5 95368,"13,614","6,899","6,715",31.1,30,32.1,3.48,3.73,"1,029","4,378","8,572","1,914","1,267",830,49.3%,32.2%,
ZCTA5 95369,"1,099",571,528,37.1,37.5,36.8,2.80,3.28,78,321,738,276,204,132,48.0%,29.2%,
ZCTA5 95370,"26,803","13,084","13,719",47.9,46.4,49.2,2.30,2.79,"1,250","5,069","20,724","10,411","8,000","5,791",51.2%,18.9%,
ZCTA5 95372,"1,963",996,967,42.4,40.7,44.7,2.56,3.01,116,451,"1,430",608,458,313,49.3%,23.0%,
ZCTA5 95374,"2,030","1,074",956,32.2,32.1,32.3,3.38,3.68,173,609,"1,334",422,310,210,47.1%,30.0%,
ZCTA5 95375,106,58,48,58.4,57.5,59,1.76,2.34,5,11,94,63,47,31,45.3%,10.4%,
ZCTA5 95376,"49,859","24,754","25,105",32.3,31,33.6,3.20,3.6,"3,872","14,992","32,535","8,552","5,975","4,038",50.4%,30.1%,
ZCTA5 95377,"30,902","15,340","15,562",32.3,31.4,33.1,3.71,3.9,"2,536","10,748","18,877","3,872","2,631","1,665",50.4%,34.8%,
ZCTA5 95379,"3,898","1,913","1,985",43.6,42,44.8,2.47,2.97,201,863,"2,861","1,253",886,608,50.9%,22.1%,
ZCTA5 95380,"41,201","20,592","20,609",31.3,30.2,32.5,3.09,3.57,"3,605","12,145","27,149","8,382","6,122","4,345",50.0%,29.5%,
ZCTA5 95382,"36,176","17,428","18,748",34.3,33,35.6,2.86,3.33,"2,278","9,164","24,901","8,210","6,267","4,693",51.8%,25.3%,
ZCTA5 95383,"3,937","2,052","1,885",51.3,50.6,52.1,2.25,2.66,161,668,"3,156","1,701","1,336",947,47.9%,17.0%,
ZCTA5 95385,429,240,189,44.1,42,44.7,2.51,3.15,22,84,320,112,71,45,44.1%,19.6%,
ZCTA5 95386,"9,877","5,026","4,851",31.1,30,32.1,3.33,3.63,812,"3,123","6,238","1,730","1,235",836,49.1%,31.6%,
ZCTA5 95387,636,331,305,29.1,30.1,28.4,3.66,4.03,61,232,376,104,73,49,48.0%,36.5%,
ZCTA5 95388,"13,074","6,605","6,469",27,26.5,27.6,3.74,4.07,"1,326","4,635","7,719","2,100","1,498","1,015",49.5%,35.5%,
ZCTA5 95389,"1,272",750,522,38.1,41.7,34.6,1.90,2.83,37,120,"1,117",253,119,46,41.0%,9.4%,
ZCTA5 95391,"9,959","4,953","5,006",31.5,31.5,31.6,3.44,3.73,"1,151","3,441","6,298","1,065",729,407,50.3%,34.6%,
ZCTA5 95401,"36,981","18,394","18,587",34,32.5,35.7,2.75,3.3,"2,648","8,946","26,349","8,113","5,788","3,887",50.3%,24.2%,
ZCTA5 95403,"45,164","22,483","22,681",36.3,34.2,38.6,2.60,3.17,"3,063","10,586","32,766","10,885","7,847","5,495",50.2%,23.4%,
ZCTA5 95404,"39,761","19,264","20,497",40.5,39.1,42.1,2.46,3.03,"2,309","8,357","29,980","11,651","8,600","5,761",51.6%,21.0%,
ZCTA5 95405,"21,399","10,067","11,332",42.9,40.1,45.7,2.37,2.88,"1,162","4,330","16,343","6,912","5,197","3,529",53.0%,20.2%,
ZCTA5 95407,"39,352","20,247","19,105",30.4,29.9,30.8,3.32,3.78,"3,425","11,421","26,097","5,884","3,882","2,403",48.5%,29.0%,
ZCTA5 95409,"27,187","12,624","14,563",49.3,45.9,52.1,2.21,2.81,"1,237","5,238","21,175","11,502","9,559","7,505",53.6%,19.3%,
ZCTA5 95410,950,459,491,54.3,52.4,55.4,2.09,2.63,32,121,813,461,337,216,51.7%,12.7%,
ZCTA5 95412,401,208,193,44.1,43.8,44.4,2.57,3.34,24,73,311,138,106,67,48.1%,18.2%,
ZCTA5 95415,"1,592",854,738,36.2,36.5,35.9,2.87,3.24,111,422,"1,113",417,323,206,46.4%,26.5%,
ZCTA5 95417,297,154,143,48.6,47.3,49.5,2.52,2.97,15,52,237,110,80,46,48.1%,17.5%,
ZCTA5 95420,374,176,198,54.9,54.8,55,2.04,2.57,9,40,329,186,141,95,52.9%,10.7%,
ZCTA5 95421,"1,592",841,751,51.5,51.6,51.4,2.12,2.72,65,230,"1,327",664,484,259,47.2%,14.4%,
ZCTA5 95422,"15,585","7,794","7,791",40.3,39,41.8,2.46,3.09,"1,085","3,692","11,192","4,538","3,417","2,406",50.0%,23.7%,
ZCTA5 95423,"3,747","1,893","1,854",54,52.9,55,2.09,2.63,133,527,"3,126","1,795","1,466","1,072",49.5%,14.1%,
ZCTA5 95425,"10,841","5,456","5,385",41.8,40.4,43.5,2.62,3.08,651,"2,396","8,067","3,373","2,548","1,797",49.7%,22.1%,
ZCTA5 95426,"2,147","1,099","1,048",50.2,50.5,49.8,2.24,2.71,86,363,"1,716",799,531,314,48.8%,16.9%,
ZCTA5 95427,459,246,213,50.4,49.3,50.8,2.28,2.7,27,81,366,178,124,70,46.4%,17.6%,
ZCTA5 95428,"2,516","1,277","1,239",37.1,35.9,38,2.57,3.27,192,658,"1,766",714,550,368,49.2%,26.2%,
ZCTA5 95429,70,39,31,55.5,55.3,57.5,1.79,2.26,1,5,64,36,26,12,44.3%,7.1%,
ZCTA5 95430,44,18,26,58,56.5,58.5,2.20,2.54,0,4,38,23,16,7,59.1%,9.1%,
ZCTA5 95431,631,367,264,52.5,52.1,52.9,,0,0,0,628,247,136,79,41.8%,0.0%,
ZCTA5 95432,426,219,207,50.9,51.3,50.2,2.10,2.65,25,73,346,178,129,80,48.6%,17.1%,
ZCTA5 95435,82,37,45,30.7,31.5,30.3,3.42,3.85,7,29,47,16,12,8,54.9%,35.4%,
ZCTA5 95436,"5,418","2,769","2,649",47.4,46.6,48.3,2.23,2.86,212,918,"4,325","1,938","1,292",717,48.9%,16.9%,
ZCTA5 95437,"14,799","7,396","7,403",44.3,42.5,46.3,2.31,2.92,855,"2,944","11,430","5,095","3,810","2,526",50.0%,19.9%,
ZCTA5 95439,675,339,336,42.9,41.7,43.6,2.73,3.32,40,145,507,201,151,101,49.8%,21.5%,
ZCTA5 95441,"2,014","1,100",914,42.1,41.3,43.9,2.77,3.11,121,425,"1,521",611,426,271,45.4%,21.1%,
ZCTA5 95442,"3,178","1,583","1,595",49.8,47.9,50.7,2.18,2.73,125,502,"2,598","1,247",858,495,50.2%,15.8%,
ZCTA5 95443,233,123,110,54.7,52.9,56.2,1.85,2.38,2,18,209,115,90,70,47.2%,7.7%,
ZCTA5 95444,748,355,393,43.7,39.2,46.4,2.72,3.14,32,166,553,220,145,82,52.5%,22.2%,
ZCTA5 95445,"2,093","1,049","1,044",51.8,51.5,52.1,2.23,2.7,89,339,"1,717",930,699,431,49.9%,16.2%,
ZCTA5 95446,"4,750","2,588","2,162",49.1,48.7,49.5,1.96,2.72,165,644,"3,965","1,784","1,218",698,45.5%,13.6%,
ZCTA5 95448,"16,852","8,462","8,390",43.5,41.5,45.6,2.48,3.01,849,"3,545","12,720","5,628","4,168","2,749",49.8%,21.0%,
ZCTA5 95449,"1,507",821,686,39.2,38.6,39.7,2.66,3.13,89,345,"1,100",383,260,181,45.5%,22.9%,
ZCTA5 95450,387,209,178,55.6,56.3,55.2,1.94,2.58,15,57,326,201,143,80,46.0%,14.7%,
ZCTA5 95451,"11,213","5,602","5,611",44.6,43.5,45.5,2.51,3.01,638,"2,473","8,360","3,855","2,901","1,953",50.0%,22.1%,
ZCTA5 95452,"1,393",691,702,54.3,53.5,55,2.18,2.65,41,208,"1,144",675,519,332,50.4%,14.9%,
ZCTA5 95453,"11,256","5,637","5,619",45.4,43.1,47.4,2.37,2.93,610,"2,318","8,527","4,026","3,105","2,212",49.9%,20.6%,
ZCTA5 95454,"2,556","1,362","1,194",45.4,45.2,45.7,2.32,2.9,117,502,"1,971",858,574,332,46.7%,19.6%,
ZCTA5 95456,795,356,439,59.3,56.6,60.8,1.75,2.39,24,70,716,458,389,271,55.2%,8.8%,
ZCTA5 95457,"2,893","1,506","1,387",49,47.7,50.8,2.26,2.79,116,479,"2,326","1,153",849,559,47.9%,16.6%,
ZCTA5 95458,"3,104","1,557","1,547",48.7,48.4,48.9,2.20,2.8,176,556,"2,426","1,203",929,667,49.8%,17.9%,
ZCTA5 95459,504,259,245,46.6,44.7,47.5,2.23,2.71,31,94,401,200,150,98,48.6%,18.7%,
ZCTA5 95460,"2,285","1,098","1,187",56.1,55.4,56.9,1.99,2.51,70,280,"1,948","1,207",941,607,51.9%,12.3%,
ZCTA5 95461,"3,413","1,774","1,639",45.7,46.3,45,2.38,2.96,169,709,"2,599","1,127",778,473,48.0%,20.8%,
ZCTA5 95462,"1,417",753,664,51.6,51.6,51.6,1.88,2.51,47,158,"1,231",591,394,244,46.9%,11.2%,
ZCTA5 95463,169,88,81,52.8,52.3,53.8,1.82,2.63,6,18,145,79,61,32,47.9%,10.7%,
ZCTA5 95464,"2,673","1,326","1,347",45.6,44.7,46.5,2.28,2.87,153,542,"2,031",923,678,485,50.4%,20.3%,
ZCTA5 95465,"2,083","1,064","1,019",50,49.5,50.7,2.09,2.63,68,285,"1,751",832,593,307,48.9%,13.7%,
ZCTA5 95466,946,497,449,41.7,41.3,42.4,2.68,3.1,64,243,677,312,218,131,47.5%,25.7%,
ZCTA5 95467,"5,498","2,709","2,789",41.2,41.1,41.4,2.63,2.97,301,"1,370","3,979","1,568","1,157",755,50.7%,24.9%,
ZCTA5 95468,"1,258",641,617,46.2,42.3,48.8,2.27,2.93,53,271,951,455,327,220,49.0%,21.5%,
ZCTA5 95469,"1,767",918,849,45.8,44.7,46.5,2.47,2.97,126,368,"1,341",629,448,281,48.0%,20.8%,
ZCTA5 95470,"6,032","3,063","2,969",41.6,40.6,42.8,2.69,3.07,329,"1,341","4,450","1,807","1,270",783,49.2%,22.2%,
ZCTA5 95471,522,279,243,47.6,48.4,47.2,1.84,2.72,18,67,435,157,107,52,46.6%,12.8%,
ZCTA5 95472,"28,255","13,626","14,629",48.8,47.6,49.8,2.32,2.82,"1,066","5,102","22,280","10,900","7,821","4,839",51.8%,18.1%,
ZCTA5 95476,"35,394","17,027","18,367",44.9,42.1,47.2,2.38,3.03,"1,909","7,377","26,918","12,580","9,737","6,960",51.9%,20.8%,
ZCTA5 95482,"31,808","15,667","16,141",36.9,35.1,38.8,2.60,3.2,"2,221","7,986","22,436","8,551","6,382","4,353",50.7%,25.1%,
ZCTA5 95485,"2,557","1,269","1,288",43.7,43.4,43.9,2.42,2.95,146,553,"1,915",827,594,404,50.4%,21.6%,
ZCTA5 95486,62,25,37,56,58.5,53.8,1.59,2.1,0,1,60,35,23,14,59.7%,1.6%,
ZCTA5 95488,280,149,131,50.2,51.9,48.2,2.19,2.74,13,43,233,124,83,54,46.8%,15.4%,
ZCTA5 95490,"13,264","6,620","6,644",41.2,39.3,43.4,2.45,2.97,807,"2,972","9,849","4,150","3,010","1,928",50.1%,22.4%,
ZCTA5 95492,"28,532","14,084","14,448",37.2,35.6,38.6,2.98,3.4,"1,910","7,925","19,404","6,303","4,455","3,032",50.6%,27.8%,
ZCTA5 95493,198,107,91,53.4,54.1,52.8,2.28,2.74,7,34,159,91,73,52,46.0%,17.2%,
ZCTA5 95494,139,71,68,49.5,49.8,48.5,2.36,2.82,5,23,115,49,35,18,48.9%,16.5%,
ZCTA5 95497,"1,305",624,681,63.7,64.3,63.5,1.89,2.25,31,105,"1,190",967,813,595,52.2%,8.0%,
ZCTA5 95501,"23,976","12,335","11,641",35.5,35.1,36.4,2.23,2.91,"1,453","4,688","18,213","5,855","4,168","2,736",48.6%,19.6%,
ZCTA5 95503,"24,152","11,876","12,276",41.7,39.5,44.4,2.38,2.91,"1,382","5,018","18,188","7,779","5,752","3,965",50.8%,20.8%,
ZCTA5 95511,360,195,165,43.3,41.5,45.3,2.21,2.88,13,64,287,100,62,36,45.8%,17.8%,
ZCTA5 95514,254,142,112,44,48,40.7,2.37,2.8,11,51,194,87,62,32,44.1%,20.1%,
ZCTA5 95519,"17,432","8,575","8,857",37.4,36.2,38.7,2.40,2.92,"1,113","3,885","12,946","4,636","3,296","2,179",50.8%,22.3%,
ZCTA5 95521,"20,199","10,105","10,094",27.6,28,26.9,2.13,2.74,748,"2,660","14,544","3,897","2,762","1,785",50.0%,13.2%,
ZCTA5 95524,"1,787",888,899,47.6,47,48.6,2.31,2.75,88,328,"1,414",684,473,290,50.3%,18.4%,
ZCTA5 95525,"1,733",869,864,41.7,39.5,44.3,2.27,2.77,93,329,"1,358",525,360,208,49.9%,19.0%,
ZCTA5 95526,378,213,165,48.5,47.5,50.3,1.95,2.53,12,56,314,141,89,53,43.7%,14.8%,
ZCTA5 95527,627,345,282,51.4,49.8,54,2.15,2.75,26,88,524,273,202,131,45.0%,14.0%,
ZCTA5 95528,"1,139",584,555,45,44.4,45.3,2.55,2.99,54,243,855,362,256,159,48.7%,21.3%,
ZCTA5 95531,"24,528","13,793","10,735",38.2,36.6,41.3,2.53,3.07,"1,469","5,250","18,309","6,164","4,554","3,146",43.8%,21.4%,
ZCTA5 95536,"2,849","1,397","1,452",45.8,43,47.2,2.34,2.9,142,586,"2,162","1,000",767,549,51.0%,20.6%,
ZCTA5 95537,276,158,118,36.8,33.4,40,2.03,2.84,20,43,221,71,56,31,42.8%,15.6%,
ZCTA5 95540,"13,657","6,640","7,017",38.7,36.1,41.3,2.50,3.05,932,"3,317","9,750","4,063","3,138","2,315",51.4%,24.3%,
ZCTA5 95542,"2,533","1,379","1,154",43.8,41.7,45.9,2.04,2.66,126,428,"2,046",838,562,310,45.6%,16.9%,
ZCTA5 95543,765,406,359,52.4,50.9,53.7,2.11,2.6,23,138,608,329,236,147,46.9%,18.0%,
ZCTA5 95545,153,85,68,46.3,47.5,44.5,2.15,2.87,12,33,119,51,37,12,44.4%,21.6%,
ZCTA5 95546,"3,494","1,729","1,765",28.5,26.4,30.2,3.06,3.56,349,"1,220","2,103",616,435,306,50.5%,34.9%,
ZCTA5 95547,"1,222",619,603,46,46.5,45.5,2.56,2.93,55,262,922,427,278,187,49.3%,21.4%,
ZCTA5 95548,"1,373",749,624,42.3,40.5,45.3,2.46,3.08,86,287,"1,049",420,305,221,45.4%,20.9%,
ZCTA5 95549,805,426,379,46.7,47.1,46.3,2.36,2.85,33,146,637,269,189,109,47.1%,18.1%,
ZCTA5 95550,128,64,64,34.7,36.5,31.5,2.61,3.29,9,34,87,26,18,12,50.0%,26.6%,
ZCTA5 95551,"1,739",860,879,38.6,38.6,38.6,2.56,3.16,131,413,"1,264",456,321,194,50.5%,23.7%,
ZCTA5 95552,697,366,331,50.9,50.8,51.1,2.08,2.66,30,115,567,297,200,130,47.5%,16.5%,
ZCTA5 95553,"1,062",551,511,45.9,44.3,48.6,2.02,2.63,61,192,843,395,269,147,48.1%,18.1%,
ZCTA5 95554,533,277,256,47.2,47.6,46.8,2.04,2.68,19,85,427,181,121,79,48.0%,15.9%,
ZCTA5 95555,410,219,191,48.4,48.4,48.4,2.06,2.63,17,65,334,145,103,80,46.6%,15.9%,
ZCTA5 95556,605,322,283,40.7,42,37.5,2.33,2.96,41,135,459,186,138,89,46.8%,22.3%,
ZCTA5 95558,425,234,191,48.4,47.6,49.1,2.01,2.56,24,65,357,166,129,69,44.9%,15.3%,
ZCTA5 95559,182,90,92,47.5,45,50,1.86,2.5,7,22,154,67,42,23,50.5%,12.1%,
ZCTA5 95560,"1,648",868,780,40.8,39.8,42.6,2.13,2.78,91,326,"1,283",478,316,174,47.3%,19.8%,
ZCTA5 95562,"3,450","1,697","1,753",38.5,35.6,41.2,2.44,2.98,227,817,"2,498",927,678,457,50.8%,23.7%,
ZCTA5 95563,652,340,312,49.1,48.6,49.3,2.31,2.81,30,108,516,243,174,114,47.9%,16.6%,
ZCTA5 95564,462,252,210,31.3,29.8,33,2.58,2.88,28,88,353,75,53,30,45.5%,19.0%,
ZCTA5 95565,"1,071",559,512,28.9,30.3,28.2,2.87,3.35,106,358,674,165,92,49,47.8%,33.4%,
ZCTA5 95567,"1,930",951,979,45.1,44.7,45.5,2.46,2.98,125,460,"1,408",671,519,358,50.7%,23.8%,
ZCTA5 95568,136,68,68,48.5,48.5,48.5,2.11,2.69,3,34,101,57,34,26,50.0%,25.0%,
ZCTA5 95569,361,213,148,42.2,41.4,46.7,2.15,2.64,10,52,301,99,73,56,41.0%,14.4%,
ZCTA5 95570,"2,579","1,318","1,261",47.8,45.1,49.4,2.10,2.69,115,456,"2,073","1,004",750,461,48.9%,17.7%,
ZCTA5 95571,271,138,133,44.9,42,45.6,2.12,2.67,13,53,210,76,49,34,49.1%,19.6%,
ZCTA5 95573,"1,744",878,866,49.6,49.9,49.3,2.09,2.65,102,290,"1,415",695,500,321,49.7%,16.6%,
ZCTA5 95585,508,267,241,39.5,35.8,45.3,2.20,3.26,18,103,385,148,100,60,47.4%,20.3%,
ZCTA5 95587,201,109,92,49.8,50.8,49.3,2.16,2.74,7,30,163,87,67,42,45.8%,14.9%,
ZCTA5 95589,"1,612",873,739,45,42.8,46.9,2.05,2.59,103,262,"1,313",586,386,203,45.8%,16.3%,
ZCTA5 95595,262,134,128,45.6,45.3,47.5,2.20,2.84,20,53,204,83,56,34,48.9%,20.2%,
ZCTA5 95601,198,98,100,48.6,47,50,2.18,2.64,10,26,166,77,58,39,50.5%,13.1%,
ZCTA5 95602,"17,509","8,502","9,007",48.2,46.7,49.6,2.51,2.9,827,"3,646","13,289","6,817","5,306","3,853",51.4%,20.8%,
ZCTA5 95603,"27,844","13,482","14,362",46,43.7,48,2.33,2.87,"1,281","5,443","21,399","9,795","7,417","5,319",51.6%,19.5%,
ZCTA5 95604,75,44,31,49.8,45.5,56.3,2.21,2.48,0,6,66,32,24,13,41.3%,8.0%,
ZCTA5 95605,"14,179","7,115","7,064",32.7,31.6,34.2,2.88,3.57,"1,161","3,865","9,653","3,062","2,253","1,610",49.8%,27.3%,
ZCTA5 95606,196,103,93,40.8,40.2,42.5,2.51,2.93,6,51,138,50,34,25,47.4%,26.0%,
ZCTA5 95607,431,223,208,49.5,48.8,49.9,2.33,2.83,14,81,341,158,116,77,48.3%,18.8%,
ZCTA5 95608,"59,418","28,017","31,401",44,41.7,45.8,2.30,2.88,"3,182","12,225","45,050","19,506","15,073","11,234",52.8%,20.6%,
ZCTA5 95610,"44,147","21,584","22,563",35.1,33.6,36.7,2.54,3.09,"3,046","10,247","31,952","10,351","7,687","5,303",51.1%,23.2%,
ZCTA5 95612,"1,239",631,608,44,41.9,46.3,2.74,3.19,62,301,902,409,301,223,49.1%,24.3%,
ZCTA5 95614,"3,833","1,856","1,977",48.3,48.7,48,2.50,2.85,172,802,"2,907","1,377","1,010",654,51.6%,20.9%,
ZCTA5 95615,834,442,392,37.9,37.3,38.2,2.75,3.31,59,210,588,225,169,120,47.0%,25.2%,
ZCTA5 95616,"47,032","21,934","25,098",23.4,23.7,23,2.43,2.84,"1,409","5,624","31,101","7,815","5,804","4,021",53.4%,12.0%,
ZCTA5 95618,"27,281","13,274","14,007",28.4,27.2,29.8,2.74,3.11,"1,315","6,031","18,736","4,939","3,365","2,235",51.3%,22.1%,
ZCTA5 95619,"4,842","2,276","2,566",42.9,39.8,45.8,2.46,2.95,293,"1,082","3,593","1,573","1,217",920,53.0%,22.3%,
ZCTA5 95620,"20,553","10,233","10,320",33.6,32.3,34.7,3.12,3.48,"1,475","5,912","13,713","3,969","2,789","1,812",50.2%,28.8%,
ZCTA5 95621,"39,819","19,125","20,694",37.5,35.4,39.6,2.53,3.08,"2,565","9,180","29,084","10,483","8,050","5,820",52.0%,23.1%,
ZCTA5 95623,"3,806","1,890","1,916",48.6,48.1,49.1,2.49,2.88,171,724,"2,952","1,407","1,043",687,50.3%,19.0%,
ZCTA5 95624,"61,989","30,318","31,671",35.5,33.8,37,3.24,3.55,"3,995","18,094","41,037","12,591","8,811","5,792",51.1%,29.2%,
ZCTA5 95625,155,86,69,41.7,40,43.5,2.42,3.08,11,29,122,39,24,19,44.5%,18.7%,
ZCTA5 95626,"5,975","2,994","2,981",39.3,37.7,40.8,3.09,3.45,345,"1,476","4,229","1,502","1,030",660,49.9%,24.7%,
ZCTA5 95627,"3,513","1,758","1,755",33.7,33.2,34.1,3.12,3.57,225,988,"2,383",764,562,377,50.0%,28.1%,
ZCTA5 95628,"40,196","19,572","20,624",44.7,42.9,46.3,2.43,2.88,"1,886","8,196","30,638","13,467","10,203","7,171",51.3%,20.4%,
ZCTA5 95629,832,410,422,52.9,53.6,52.5,2.27,2.69,29,133,674,386,285,192,50.7%,16.0%,
ZCTA5 95630,"72,180","38,466","33,714",37.6,36.8,38.9,2.62,3.13,"4,431","17,570","52,441","14,278","10,122","6,899",46.7%,24.3%,
ZCTA5 95631,"6,076","3,040","3,036",47.9,47.8,48,2.49,2.83,274,"1,228","4,664","2,149","1,548","1,034",50.0%,20.2%,
ZCTA5 95632,"29,269","14,550","14,719",34.2,33.3,35.2,3.19,3.56,"2,054","8,706","19,204","6,067","4,442","3,100",50.3%,29.7%,
ZCTA5 95633,"3,349","1,705","1,644",48.5,48.3,48.7,2.48,2.87,125,619,"2,612","1,251",897,567,49.1%,18.5%,
ZCTA5 95634,"3,232","1,691","1,541",47.9,47.1,49.1,2.42,2.82,146,576,"2,526","1,196",890,625,47.7%,17.8%,
ZCTA5 95635,"1,262",670,592,45.8,44.3,47.2,2.47,2.91,60,245,957,413,287,167,46.9%,19.4%,
ZCTA5 95636,"1,101",573,528,46.7,46.1,47.3,2.47,2.93,53,243,824,377,266,176,48.0%,22.1%,
ZCTA5 95637,370,185,185,52.7,52.8,52.6,2.36,2.72,7,57,302,162,124,85,50.0%,15.4%,
ZCTA5 95638,"2,255","1,164","1,091",42.2,40.9,43.7,3.07,3.39,107,564,"1,559",605,442,282,48.4%,25.0%,
ZCTA5 95639,283,141,142,44.4,44.1,44.7,2.62,3.28,12,64,209,84,65,37,50.2%,22.6%,
ZCTA5 95640,"11,353","7,740","3,613",42.1,41.7,43.5,2.55,2.97,383,"1,844","9,095","2,821","2,004","1,288",31.8%,16.2%,
ZCTA5 95641,"1,986","1,055",931,50,50.4,49.5,2.18,2.96,84,348,"1,574",833,652,467,46.9%,17.5%,
ZCTA5 95642,"7,164","3,330","3,834",49.4,47,51.1,2.20,2.72,330,"1,316","5,613","2,976","2,371","1,734",53.5%,18.4%,
ZCTA5 95645,"2,037","1,082",955,35,34.6,35.8,3.07,3.63,181,558,"1,395",431,315,206,46.9%,27.4%,
ZCTA5 95646,158,95,63,44.5,43.8,44.7,1.86,2.72,0,20,128,38,32,25,39.9%,12.7%,
ZCTA5 95648,"47,354","22,904","24,450",41.2,39.7,42.9,2.60,3.01,"3,502","11,317","34,772","16,756","14,385","10,899",51.6%,23.9%,
ZCTA5 95650,"12,447","6,215","6,232",44.9,43.9,45.6,2.73,3.08,545,"2,946","9,048","3,784","2,815","1,942",50.1%,23.7%,
ZCTA5 95651,637,336,301,46.2,46.7,45.7,2.38,2.7,30,111,506,202,146,90,47.3%,17.4%,
ZCTA5 95652,739,341,398,22.6,21.4,23,2.81,3.21,72,240,416,52,32,22,53.9%,32.5%,
ZCTA5 95653,527,280,247,28.6,28.2,30.3,3.70,4.11,45,167,335,94,64,45,46.9%,31.7%,
ZCTA5 95655,"4,314","2,183","2,131",31.9,31.5,32.3,3.04,3.63,411,"1,387","2,763",530,341,186,49.4%,32.2%,
ZCTA5 95658,"6,285","3,142","3,143",48.7,48.3,49,2.57,3,266,"1,313","4,769","2,311","1,749","1,215",50.0%,20.9%,
ZCTA5 95659,702,372,330,46.9,45.3,49,2.39,2.91,31,145,532,262,190,148,47.0%,20.7%,
ZCTA5 95660,"30,714","15,149","15,565",32,30.8,33.4,3.13,3.58,"2,527","8,869","20,317","6,339","4,702","3,466",50.7%,28.9%,
